date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:40	148/148	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202020%2015:33:42%20GMT	https://viajandonoingles.co/robots.txt		(from )
12:33:41	97613/97613	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2015:33:43%20GMT	https://viajandonoingles.co/?ref=K40493286D	C:/Users/Guiga/Desktop/test/viajandonoingles.co/index.html	(from )
12:33:43	168316/168316	---MCZ	200	added ('OK')	text/css	etag:W/%220c98fa101d611e7ca3c80683d28f94db%22	http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/stylesheets/publish4946.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:43	13801/13801	---M--	200	added ('OK')	image/png	etag:%22fbbec52a314d0286a67a2ec589cbcd49%22	http://static-public.klickpages.com.br/uploads/media/file/1409129/viajando_ingles_logo_favicon2.png	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1409129/viajando_ingles_logo_favicon2.png	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:44	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Sep%202020%2015:33:46%20GMT	http://launcher.hotmart.com/launcher.js	C:/Users/Guiga/Desktop/test/launcher.hotmart.com/launcher.5.delayed	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:50	50447/50447	---MC-	200	added ('OK')	application/javascript	date:Wed,%2009%20Sep%202020%2015:33:45%20GMT	https://apis.google.com/js/plus.js	C:/Users/Guiga/Desktop/test/apis.google.com/js/plus.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:50	235393/235393	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2006%20Aug%202020%2019:23:02%20GMT	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/include.js?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/javascripts/public/js/include4946.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:50	50453/50453	---MC-	200	added ('OK')	application/javascript	date:Wed,%2009%20Sep%202020%2015:33:46%20GMT	https://apis.google.com/js/plusone.js	C:/Users/Guiga/Desktop/test/apis.google.com/js/plusone.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:50	3012/3012	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Sep%202020%2015:33:47%20GMT	https://launcher.hotmart.com:443/launcher.js	C:/Users/Guiga/Desktop/test/launcher.hotmart.com_443/launcher.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:50	137749/137749	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2009%20Sep%202020%2015:33:52%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Guiga/Desktop/test/connect.facebook.net/en_US/fbevents.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:51	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c44e2cc5570cf8fc25d0e70b88b6f245%22	http://connect.facebook.net/pt_BR/sdk.js	C:/Users/Guiga/Desktop/test/connect.facebook.net/pt_BR/sdk.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:51	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/body/begin.js?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/javascripts/public/js/body/begin4946.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:51	4741/4741	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Jun%202018%2017:48:41%20GMT	http://static-public.klickpages.com.br/tmp/zip/874/styles/main.css?v=1528393720	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/874/styles/mainecfb.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:52	2553/2553	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202019%2012:50:33%20GMT	http://static-public.klickpages.com.br/tmp/zip/1252/styles/main.css?v=1568983799	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/1252/styles/main20ce.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:52	4172/4172	---MCZ	200	added ('OK')	text/css	etag:W/%22b67ddd997ff01d797be09e5c050db27f%22	http://static-public.klickpages.com.br/tmp/zip/595/styles/main.css	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/595/styles/main.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:52	4042/4042	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202016%2013:11:26%20GMT	http://static-public.klickpages.com.br/tmp/zip/593/styles/main.css	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/593/styles/main.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:53	6182/6182	---MCZ	200	added ('OK')	text/css	etag:W/%22ee763453dbaf150af3d597ccd54231ed%22	http://static-public.klickpages.com.br/tmp/zip/1300/styles/main.css?v=1576507975	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/1300/styles/main523d.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:58	36445/36445	---M--	200	added ('OK')	image/jpeg	etag:%2210553b58a4ff0e3aaab48e95acfa151a%22	http://static-public.klickpages.com.br/uploads/media/file/1299044/viajando_ingles_bg.jpg	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1299044/viajando_ingles_bg.jpg	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:59	874/874	---MCZ	200	added ('OK')	text/css	etag:W/%22af8dc9fc37f669770a6468e2c29f4797%22	http://static-public.klickpages.com.br/tmp/zip/865/styles/main.css?v=1528118659	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/865/styles/maine911.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:33:59	2988/2988	---MCZ	200	added ('OK')	text/css	etag:W/%22a7e0c1b2a1e7fbdf57294f54f403997e%22	http://static-public.klickpages.com.br/tmp/zip/1270/styles/main.css?v=1572291146	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/1270/styles/maina2ca.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:06	109199/109199	---M--	200	added ('OK')	image/jpeg	etag:%2223d7617cd9c55c038da0dc89bd21e87e%22	http://static-public.klickpages.com.br/uploads/media/file/1405281/abw2016-p001-269767-1-m-istock.com_e_getty_images-1024x683.jpg	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1405281/abw2016-p001-269767-1-m-istock.com_e_getty_images-1024x683.jpg	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:06	1413/1413	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202019%2012:53:19%20GMT	http://static-public.klickpages.com.br/tmp/zip/1253/styles/main.css?v=1568983998	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/1253/styles/maine12f.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:07	4711/4711	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202019%2013:02:02%20GMT	http://static-public.klickpages.com.br/tmp/zip/1256/styles/main.css?v=1568984520	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/1256/styles/main96f6.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:11	132105/132105	---M--	200	added ('OK')	image/png	etag:%22a6763dedc6a47d879f2b94aadce606f4%22	http://static-public.klickpages.com.br/uploads/media/file/1299028/viajando_ingles_logo-vetor.png	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1299028/viajando_ingles_logo-vetor.png	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:13	33445/33445	---M--	200	added ('OK')	image/jpeg	etag:%226dabfaf943f504ee44a94edd21b47de0%22	http://static-public.klickpages.com.br/uploads/media/file/2239690/e0962568-a5f2-4e83-bdfc-b0d19fb83977.jpg	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/2239690/e0962568-a5f2-4e83-bdfc-b0d19fb83977.jpg	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:22	68585/68585	---M--	200	added ('OK')	image/jpeg	etag:%225cfd4756e827755ca249addcd9129f05%22	http://static-public.klickpages.com.br/uploads/media/file/2239668/pp.jpg	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/2239668/pp.jpg	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:23	1738/1738	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Oct%202018%2017:28:23%20GMT	http://static-public.klickpages.com.br/tmp/zip/1096/styles/main.css?v=1540574876	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/1096/styles/main3ad1.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:34:24	193605/193605	---M--	200	added ('OK')	image/jpeg	etag:%22ca513eaa8d9a08e1bf26bc30d6a0816f%22	http://static-public.klickpages.com.br/uploads/media/file/1720609/vni_montagem_aulas_site.jpg	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1720609/vni_montagem_aulas_site.jpg	(from https://viajandonoingles.co/?ref=K40493286D)
